nýtsluland;1993 Alt árið;1994 Alt árið;1995 Alt árið;1996 Alt árið;1997 Alt árið;1998 Alt árið;1999 Alt árið;2000 Alt árið;2001 Alt árið;2002 Alt árið;2003 Alt árið;2004 Alt árið;2005 Alt árið;2006 Alt árið;2007 Alt árið;2008 Alt árið;2009 Alt árið;2010 Alt árið;2011 Alt árið;2012 Alt árið;2013 Alt árið;2014 Alt árið;2015 Alt árið;2016 Alt árið;2017 Alt árið;2018 Alt árið;2019 Alt árið;2020 Alt árið;2021 Alt árið;2022 Alt árið
Egyptaland;0.0;0.0;2085.5;13798.3;4044.0;0.0;3526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7025.4;0.0;0.0;1706.6;3324.8;38462.8;18218.2;18912.1;5900.1;1020.7;12214.3;71724.2;87060.4;77667.4
Ekvador;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;297.6;0.0;0.0;0.0;0.0;175.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Estland;0.0;0.0;187.0;0.0;515.4;0.0;49298.3;2872.6;748.1;600.8;391.8;5015.6;6291.5;5524.8;5763.4;24296.2;14066.0;4597.7;18577.5;1913.4;10334.8;13465.2;1280.0;2750.2;6078.2;8722.9;3935.8;6396.9;11559.6;27825.2
Etiopia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;123.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Eysturríki;0.0;0.0;0.0;77.2;106.7;0.0;816.6;118.4;5539.3;3873.6;3182.0;0.0;0.0;1.3;59.0;26.4;218.9;254.5;286.3;1122.6;1956.3;4924.4;4823.5;3755.4;8020.9;7465.1;11912.2;19679.8;12677.6;16162.7
Eysturtýskland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Filipsoyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.2;0.0;0.0;551.6;1309.5;1751.9;1166.3;1431.3;1898.7;2349.1;5096.1;1304.6;3183.9;2935.4;1748.9;1617.2;0.0;270.6;0.0;515.4;1920.0;2201.3;862.6
Finnland;9401.5;24787.6;14757.0;14318.5;13929.0;16594.4;7010.7;1754.0;2299.2;14874.0;24770.0;16119.1;20892.9;26204.5;20575.4;33099.2;40685.1;35961.7;1527.0;484.3;1476.5;864.9;1107.1;1241.1;1402.5;3089.3;607.9;1924.1;733.7;1067.0
Fílabeinsstrondin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3618.2;0.0;0.0;7134.4;2227.9;0.0;379.0;105.3;4839.8;4465.0
Frakland;239131.2;233471.5;167900.7;196761.8;195634.4;270585.0;317606.6;300589.8;425229.0;336264.1;367726.5;305292.1;294598.0;383542.8;299481.8;347159.7;440713.2;414634.9;319302.4;397506.5;316165.0;288748.4;266801.9;368719.8;249691.2;236363.0;247995.3;301517.7;426620.7;460977.7
